,network name,property,Certified,Compute time,method
57,ACASXU_run2a_3_9_batch_2000,1,False,11.06692385673523,DeepPoly + Complete MILP
58,ACASXU_run2a_5_5_batch_2000,3,True,1.262890100479126,DeepPoly + Complete MILP
59,ACASXU_run2a_1_2_batch_2000,3,True,9.36223030090332,DeepPoly + Complete MILP
60,ACASXU_run2a_5_8_batch_2000,3,True,1.4515857696533203,DeepPoly + Complete MILP
61,ACASXU_run2a_5_3_batch_2000,4,True,1.362792730331421,DeepPoly + Complete MILP
62,ACASXU_run2a_3_5_batch_2000,2,False,6.203421354293823,DeepPoly + Complete MILP
63,ACASXU_run2a_3_2_batch_2000,2,False,8.385290145874023,DeepPoly + Complete MILP
64,ACASXU_run2a_5_3_batch_2000,2,False,19.923858880996704,DeepPoly + Complete MILP
65,ACASXU_run2a_1_7_batch_2000,4,False,6.143924713134766,DeepPoly + Complete MILP
66,ACASXU_run2a_1_3_batch_2000,3,True,21.605095148086548,DeepPoly + Complete MILP
67,ACASXU_run2a_4_9_batch_2000,2,INFEASIBLE,22.91011333465576,DeepPoly + Complete MILP
68,ACASXU_run2a_4_5_batch_2000,5,False,5.058144807815552,DeepPoly + Complete MILP
69,ACASXU_run2a_5_9_batch_2000,5,False,7.077134132385254,DeepPoly + Complete MILP
70,ACASXU_run2a_1_6_batch_2000,1,True,29.52009081840515,DeepPoly + Complete MILP
71,ACASXU_run2a_4_4_batch_2000,4,True,1.3645756244659424,DeepPoly + Complete MILP
72,ACASXU_run2a_4_9_batch_2000,3,True,1.273681879043579,DeepPoly + Complete MILP
73,ACASXU_run2a_5_3_batch_2000,3,True,1.1481409072875977,DeepPoly + Complete MILP
74,ACASXU_run2a_1_3_batch_2000,4,True,3.75622296333313,DeepPoly + Complete MILP
75,ACASXU_run2a_5_8_batch_2000,4,True,1.3665673732757568,DeepPoly + Complete MILP
76,ACASXU_run2a_3_1_batch_2000,2,False,4.565831184387207,DeepPoly + Complete MILP
77,ACASXU_run2a_4_8_batch_2000,2,False,10.089266777038574,DeepPoly + Complete MILP
